study,scenario_key,regime,method,theta,validation_tpr,validation_tnr,target_tpr,target_tnr,target_size_m,validation_total_N,n_pass,n_fail,rho_target,rho_actual,sensitivity_decline,specificity_decline,replications,coverage_count,coverage,coverage_wilson_low,coverage_wilson_high,coverage_mcse,bias,bias_mcse,bias_mc95_low,bias_mc95_high,rmse,empirical_sd,mean_width,mean_width_mcse,rms_raw_bootstrap_sd,rms_analytic_se,rms_reported_se,se_calibration_ratio,se_calibration_ratio_low,se_calibration_ratio_high,weak_j_fraction,discarded_fraction,analytic_bias,empirical_minus_analytic_bias
A,"A|low success, N=800|rho_target=0.05|m=21445|N=800","low success, N=800",textbook_validation_only,0.2,0.875,0.875,0.875,0.875,21445,800,400,400,0.05,0.050000881676988816,nan,nan,5000,4687,0.9374,0.9303439051736698,0.9437845091647944,0.0034258207775655744,-0.00035244701376169196,0.0002670303460331802,-0.0008758168747659932,0.0001709228472426093,0.018883297969496924,0.018881896846265202,0.07139291943805111,0.00010214099216346767,0.01838469064912355,nan,0.01838469064912355,0.9736675715798119,0.9525997597729815,0.9936684131454094,0.0,0.0,nan,nan
A,"A|low success, N=800|rho_target=0.05|m=21445|N=800","low success, N=800",full_fixed_stratum_bootstrap,0.2,0.875,0.875,0.875,0.875,21445,800,400,400,0.05,0.050000881676988816,nan,nan,5000,4718,0.9436,0.9368584836941273,0.9496604111402182,0.0032624849424939878,-0.00035244701376169196,0.0002670303460331802,-0.0008758168747659932,0.0001709228472426093,0.018883297969496924,0.018881896846265202,0.07314094362380427,0.00010175760898151288,0.018823796033386214,nan,0.018823796033386214,0.996922935584701,0.9796924253881514,1.0159896765889074,0.0,0.0,nan,nan
A,"A|low success, N=800|rho_target=0.05|m=21445|N=800","low success, N=800",delta_method,0.2,0.875,0.875,0.875,0.875,21445,800,400,400,0.05,0.050000881676988816,nan,nan,5000,4729,0.9458,0.9391751361905106,0.9517403807552766,0.003201948156981934,-0.00035244701376169196,0.0002670303460331802,-0.0008758168747659932,0.0001709228472426093,0.018883297969496924,0.018881896846265202,0.07312275482007666,9.571675346455301e-05,nan,0.0187338275149971,0.0187338275149971,0.9921581326032193,0.9753739744581689,1.0126441282100014,0.0,0.0,nan,nan
A,"A|low success, N=800|rho_target=0.10|m=10723|N=800","low success, N=800",textbook_validation_only,0.2,0.875,0.875,0.875,0.875,10723,800,400,400,0.1,0.099997100397559,nan,nan,5000,4692,0.9384,0.931393310404438,0.944733568530136,0.003400159996235471,0.00013069403835050397,0.0002668121012892064,-0.00039224807081579354,0.0006536361475168015,0.018865030591177813,0.018866464612422983,0.07138415959335224,9.80083769975392e-05,0.01838076939737258,nan,0.01838076939737258,0.9742561616588946,0.9555492549362696,0.9926498102831988,0.0,0.0,nan,nan
A,"A|low success, N=800|rho_target=0.10|m=10723|N=800","low success, N=800",full_fixed_stratum_bootstrap,0.2,0.875,0.875,0.875,0.875,10723,800,400,400,0.1,0.099997100397559,nan,nan,5000,4761,0.9522,0.945931477658468,0.9577742127024225,0.0030171231330524103,0.00013069403835050397,0.0002668121012892064,-0.00039224807081579354,0.0006536361475168015,0.018865030591177813,0.018866464612422983,0.07477590490910696,9.588955779362324e-05,0.01923559318327728,nan,0.01923559318327728,1.0195653281331383,1.0020226818196578,1.0406196815370612,0.0,0.0,nan,nan
A,"A|low success, N=800|rho_target=0.10|m=10723|N=800","low success, N=800",delta_method,0.2,0.875,0.875,0.875,0.875,10723,800,400,400,0.1,0.099997100397559,nan,nan,5000,4763,0.9526,0.946354660519909,0.9581504156794253,0.0030051036587778464,0.00013069403835050397,0.0002668121012892064,-0.00039224807081579354,0.0006536361475168015,0.018865030591177813,0.018866464612422983,0.07480492250445844,9.031528184911675e-05,nan,0.019152642069014045,0.019152642069014045,1.0151685788763318,0.997072789863981,1.0360111423512643,0.0,0.0,nan,nan
A,"A|low success, N=800|rho_target=0.20|m=5361|N=800","low success, N=800",textbook_validation_only,0.2,0.875,0.875,0.875,0.875,5361,800,400,400,0.2,0.2000128534905848,nan,nan,5000,4603,0.9206,0.9127791097321472,0.9277750993916709,0.0038234968288204454,-0.0006870952760983373,0.0002863912450405976,-0.001248411801865494,-0.00012577875033118065,0.020260548022023466,0.020250919144066477,0.07159334605215041,0.00010085121031299655,0.018433511871149166,nan,0.018433511871149166,0.9102555661800757,0.8956642410928587,0.9300760541375699,0.0,0.0,nan,nan
A,"A|low success, N=800|rho_target=0.20|m=5361|N=800","low success, N=800",full_fixed_stratum_bootstrap,0.2,0.875,0.875,0.875,0.875,5361,800,400,400,0.2,0.2000128534905848,nan,nan,5000,4728,0.9456,0.938964415086006,0.9515514089405591,0.003207511184703804,-0.0006870952760983373,0.0002863912450405976,-0.001248411801865494,-0.00012577875033118065,0.020260548022023466,0.020250919144066477,0.07834657282563878,9.91894966681979e-05,0.020140706985182843,nan,0.020140706985182843,0.9945576712790379,0.9741212237135048,1.014324022913011,0.0,0.0,nan,nan
A,"A|low success, N=800|rho_target=0.20|m=5361|N=800","low success, N=800",delta_method,0.2,0.875,0.875,0.875,0.875,5361,800,400,400,0.2,0.2000128534905848,nan,nan,5000,4744,0.9488,0.942338874132074,0.9545720366020427,0.0031170036894427964,-0.0006870952760983373,0.0002863912450405976,-0.001248411801865494,-0.00012577875033118065,0.020260548022023466,0.020250919144066477,0.0783743559612121,9.241674121706275e-05,nan,0.020063192024054634,0.020063192024054634,0.9907299457038795,0.9729334336699361,1.009036175371453,0.0,0.0,nan,nan
A,"A|low success, N=800|rho_target=0.40|m=2681|N=800","low success, N=800",textbook_validation_only,0.2,0.875,0.875,0.875,0.875,2681,800,400,400,0.4,0.3999511031566673,nan,nan,5000,4497,0.8994,0.8907533911419133,0.9074333685443751,0.00425393088801405,-0.0001983524472687348,0.00030747654298315236,-0.0008009953976065953,0.0004042905030691257,0.02174060542609622,0.0217418748599184,0.07143024763082538,0.00010106558256141344,0.01839464664748246,nan,0.01839464664748246,0.8460469378100126,0.8294579097498448,0.8617352813185336,0.0,0.0,nan,nan
